name,rank,country,title,profilelink,profileimage,classicalrating,rapidrating,blitzrating,lastupdated,lastupdated_dt
A Daurimbetov,11843,Uzbekistan,FM,https://www.chess.com/players/a-daurimbetov,,2134,2228,2198,29-12-2023,2023-12-29
A G Nimmy,12168,India,WFM,https://www.chess.com/players/a-g-nimmy,,2129,2057,0,29-12-2023,2023-12-29
A H Al-Ali Noah,7295,Iraq,IM,https://www.chess.com/players/a-h-al-ali-noah,,2213,2391,2283,29-12-2023,2023-12-29
A Izrailev,4398,Russia,,https://www.chess.com/players/a-izrailev,,2292,2253,2309,29-12-2023,2023-12-29
A Kalinin,14958,Ukraine,IM,https://www.chess.com/players/a-kalinin,,2091,1885,2023,29-12-2023,2023-12-29
A Koushik Girish,674,India,GM,https://www.chess.com/players/a-koushik-girish,https://images.chesscomfiles.com/uploads/v1/master_player/04f25dee-a755-11eb-b2e5-d724f781597c.04bc977f.30x30o.89e5e3a1a0c3.jpg,2499,2410,2398,29-12-2023,2023-12-29
A Kupriyanov,5945,Russia,,https://www.chess.com/players/a-kupriyanov,,2245,2190,2172,29-12-2023,2023-12-29
A M Soozankar,9919,Iran,IM,https://www.chess.com/players/a-m-soozankar,,2164,2145,2079,29-12-2023,2023-12-29
A Moussa Othman,6730,United Arab Emirates,FM,https://www.chess.com/players/a-moussa-othman,,2226,2069,2061,29-12-2023,2023-12-29
A P Joshua,6382,India,FM,https://www.chess.com/players/a-p-joshua,,2234,2186,2136,29-12-2023,2023-12-29
A R Kheiri,16811,Iran,,https://www.chess.com/players/a-r-kheiri,,2068,0,0,29-12-2023,2023-12-29
A Ra Harikrishnan,1313,India,IM,https://www.chess.com/players/a-ra-harikrishnan,,2437,2301,2409,29-12-2023,2023-12-29
A Severijnen,16123,Netherlands,,https://www.chess.com/players/a-severijnen,,2076,0,0,29-12-2023,2023-12-29
A. Ayapbergenov,12869,Kazakhstan,,https://www.chess.com/players/a-ayapbergenov,,2118,2199,0,29-12-2023,2023-12-29
A. Geracimov,10057,Russia,,https://www.chess.com/players/a-geracimov,,2162,2137,2051,29-12-2023,2023-12-29
A.hosein Doroodgar,13276,Iran,,https://www.chess.com/players/a-hosein-doroodgar,,2113,2098,2076,29-12-2023,2023-12-29
Aaditya Dhingra,1057,India,CM,https://www.chess.com/players/aaditya-dhingra,https://images.chesscomfiles.com/uploads/v1/master_player/6151141e-a754-11eb-9623-abeaf1426b90.1b77e41f.30x30o.9a0fd2412ebc.jpg,2457,2221,2269,29-12-2023,2023-12-29
Aakanksha Hagawane,10894,India,WIM,https://www.chess.com/players/aakanksha-hagawane,,2149,2062,2081,29-12-2023,2023-12-29
Aarav Dengla,2095,India,FM,https://www.chess.com/players/aarav-dengla,,2388,2218,2307,29-12-2023,2023-12-29
Aaravamudhan Balaji,3212,England,FM,https://www.chess.com/players/aaravamudhan-balaji,,2334,2253,2253,29-12-2023,2023-12-29
Aarno Eskelinen,9097,Finland,,https://www.chess.com/players/aarno-eskelinen,,2178,0,0,29-12-2023,2023-12-29
Aaro Salmelin,15395,Finland,,https://www.chess.com/players/aaro-salmelin,,2086,1972,1972,29-12-2023,2023-12-29
Aaron Alonso Garcia,1184,Spain,IM,https://www.chess.com/players/aaron-alonso-garcia,,2446,2370,2343,29-12-2023,2023-12-29
Aaron Balleisen,6562,United States,,https://www.chess.com/players/aaron-balleisen,,2230,0,0,29-12-2023,2023-12-29
Aaron Bendayan Claros,8015,Spain,CM,https://www.chess.com/players/aaron-bendayan-claros,,2198,2164,2213,29-12-2023,2023-12-29
Aaron Grabinsky,1699,United States,IM,https://www.chess.com/players/aaron-grabinsky,,2409,2335,2448,29-12-2023,2023-12-29
Aaron Groebel,16822,Germany,,https://www.chess.com/players/aaron-groebel,,2068,0,0,29-12-2023,2023-12-29
Aaron Jacobson,2986,United States,FM,https://www.chess.com/players/aaron-jacobson,,2343,2332,2295,29-12-2023,2023-12-29
Aaron Kahn,9460,United States,,https://www.chess.com/players/aaron-kahn,,2172,0,0,29-12-2023,2023-12-29
Aaron Matthes,6696,Germany,CM,https://www.chess.com/players/aaron-matthes,,2227,2129,0,29-12-2023,2023-12-29
Aaron Noah Koellner,7869,Germany,CM,https://www.chess.com/players/aaron-noah-koellner,,2201,0,2133,29-12-2023,2023-12-29
Aaron Rodriguez Adell,11857,Spain,,https://www.chess.com/players/aaron-rodriguez-adell,,2133,2111,0,29-12-2023,2023-12-29
Aaryan Deshpande,16013,United States,,https://www.chess.com/players/aaryan-deshpande,,2077,0,2007,29-12-2023,2023-12-29
Aaryan Varshney,3096,India,FM,https://www.chess.com/players/aaryan-varshney,,2339,2212,2259,29-12-2023,2023-12-29
Aashna Makhija,11406,India,WIM,https://www.chess.com/players/aashna-makhija,,2141,1990,1990,29-12-2023,2023-12-29
Aayush Bhattacherjee,1219,India,FM,https://www.chess.com/players/aayush-bhattacherjee,,2444,2149,2186,29-12-2023,2023-12-29
Abdallah Ezat,18160,Egypt,,https://www.chess.com/players/abdallah-ezat,,2052,2090,2162,27-12-2023,2023-12-27
Abdelaziz ADEL,15680,Morocco,,https://www.chess.com/players/abdelaziz-adel,,2082,2067,0,29-12-2023,2023-12-29
Abdelaziz Onkoud,3772,Morocco,IM,https://www.chess.com/players/abdelaziz-onkoud,,2313,2339,2281,29-12-2023,2023-12-29
Abdelmouine Bensaid,15976,Belgium,,https://www.chess.com/players/abdelmouine-bensaid,,2078,2068,2155,29-12-2023,2023-12-29
Abdelouhab Ouaret,13564,Algeria,IM,https://www.chess.com/players/abdelouhab-ouaret,,2109,2052,2076,29-12-2023,2023-12-29
Abdelrahman Hesham,1618,Egypt,GM,https://www.chess.com/players/abdelrahman-hesham,,2414,2415,2478,29-12-2023,2023-12-29
Abdeslam Zarkik,11997,Morocco,,https://www.chess.com/players/abdeslam-zarkik,,2131,2123,0,29-12-2023,2023-12-29
Abdessadek Maalla,15411,Morocco,,https://www.chess.com/players/abdessadek-maalla,,2085,2170,2059,29-12-2023,2023-12-29
Abdimalik Abdisalimov,1290,Uzbekistan,IM,https://www.chess.com/players/abdimalik-abdisalimov,,2438,2330,2389,29-12-2023,2023-12-29
Abdollah Bodesh,16613,Iran,,https://www.chess.com/players/abdollah-bodesh,,2070,2017,2083,29-12-2023,2023-12-29
Abdollah Naderi,14101,Iran,,https://www.chess.com/players/abdollah-naderi,,2103,1967,1956,29-12-2023,2023-12-29
Abdul Hameed El Arousy,16108,Egypt,IM,https://www.chess.com/players/abdul-hameed-el-arousy,,2076,2123,2095,29-12-2023,2023-12-29
Abdul Kader Rayes,16841,Syria,,https://www.chess.com/players/abdul-kader-rayes,,2068,2100,2024,29-12-2023,2023-12-29
Abdulla Gadimbayli,806,Azerbaijan,GM,https://www.chess.com/players/abdulla-gadimbayli,https://images.chesscomfiles.com/uploads/v1/master_player/1c3fc194-a755-11eb-adab-dfe79bf72030.5dc14c78.30x30o.cb22d84efb91.jpeg,2483,2443,2386,29-12-2023,2023-12-29
Abdullah Celik,15713,Germany,,https://www.chess.com/players/abdullah-celik,,2081,2045,0,29-12-2023,2023-12-29
Abdulraheem Abdulrahman Akintoye,5098,Nigeria,FM,https://www.chess.com/players/abdulraheem-abdulrahman-akintoye,,2269,2184,2155,29-12-2023,2023-12-29
Abel Carrascoso Morales,8408,Spain,FM,https://www.chess.com/players/abel-carrascoso-morales,,2191,2234,2321,29-12-2023,2023-12-29
Abel Fabian Lopez Gonzalez,1524,Cuba,IM,https://www.chess.com/players/abel-fabian-lopez-gonzalez,,2420,2291,2291,29-12-2023,2023-12-29
Abel Lazaro Pujol,3731,Spain,FM,https://www.chess.com/players/abel-lazaro-pujol,,2314,2273,2266,29-12-2023,2023-12-29
Abel Papp,10577,Hungary,,https://www.chess.com/players/abel-papp,,2153,2190,2130,29-12-2023,2023-12-29
Abel Romkes,17205,Netherlands,,https://www.chess.com/players/abel-romkes,,2064,0,0,29-12-2023,2023-12-29
Abhijeet Gupta,133,India,GM,https://www.chess.com/players/abhijeet-gupta,https://images.chesscomfiles.com/uploads/v1/master_player/f1825d72-a754-11eb-a91d-69c35d67e6fe.2b71aa59.30x30o.7c369e5bb7cd.jpg,2625,2543,2528,29-12-2023,2023-12-29
Abhimanyu Mishra,246,United States,GM,https://www.chess.com/players/abhimanyu-mishra,https://images.chesscomfiles.com/uploads/v1/master_player/92b75cec-a755-11eb-937e-2ff3650eb74a.b87a16fd.30x30o.0e0e876d120d.png,2585,0,2449,29-12-2023,2023-12-29
Abhimanyu Puranik,163,India,GM,https://www.chess.com/players/abhimanyu-puranik,https://images.chesscomfiles.com/uploads/v1/master_player/0187e9fc-a756-11eb-b88e-e7641515de1b.3f56efc1.30x30o.ffcc39dc13c4.jpg,2611,2538,2479,29-12-2023,2023-12-29
Abhinav Penagalapati,5435,United States,,https://www.chess.com/players/abhinav-penagalapati,,2259,0,2106,29-12-2023,2023-12-29
Abi Dzar Ghiffari,15156,Indonesia,,https://www.chess.com/players/abi-dzar-ghiffari,,2089,0,0,29-12-2023,2023-12-29
Abilmansur Abdilkhair,6094,Kazakhstan,FM,https://www.chess.com/players/abilmansur-abdilkhair,,2241,2188,2194,29-12-2023,2023-12-29
Abimbola Osunfuyi,9912,Nigeria,FM,https://www.chess.com/players/abimbola-osunfuyi,,2164,2292,2219,29-12-2023,2023-12-29
Abiola Akinseye,7800,Nigeria,FM,https://www.chess.com/players/abiola-akinseye,,2202,2151,0,29-12-2023,2023-12-29
Abtin Atakhan,1612,Iran,FM,https://www.chess.com/players/abtin-atakhan,,2414,2225,2008,29-12-2023,2023-12-29
Abu Sufian Shakil,7550,Bangladesh,IM,https://www.chess.com/players/abu-sufian-shakil,,2208,2281,2296,29-12-2023,2023-12-29
Abubaker Tagelsir,8701,Sudan,FM,https://www.chess.com/players/abubaker-tagelsir,,2185,2138,2131,29-12-2023,2023-12-29
Abulfaz Muradov,3000,Ukraine,,https://www.chess.com/players/abulfaz-muradov,,2342,0,0,29-12-2023,2023-12-29
